tld	type	unicode
.sh	country-code	.sh
.shangrila	generic	.shangrila
.sharp	generic	.sharp
.shell	generic	.shell
.shia	generic	.shia
.shiksha	generic	.shiksha
.shoes	generic	.shoes
.shop	generic	.shop
.shopping	generic	.shopping
.shouji	generic	.shouji
.show	generic	.show
.si	country-code	.si
.silk	generic	.silk
.sina	generic	.sina
.singles	generic	.singles
.site	generic	.site
.sj	country-code	.sj
.sk	country-code	.sk
.ski	generic	.ski
.skin	generic	.skin
.sky	generic	.sky
.skype	generic	.skype
.sl	country-code	.sl
.sling	generic	.sling
.sm	country-code	.sm
.smart	generic	.smart
.smile	generic	.smile
.sn	country-code	.sn
.sncf	generic	.sncf
.so	country-code	.so
.soccer	generic	.soccer
.social	generic	.social
.softbank	generic	.softbank
.software	generic	.software
.sohu	generic	.sohu
.solar	generic	.solar
.solutions	generic	.solutions
.song	generic	.song
.sony	generic	.sony
.soy	generic	.soy
.spa	generic	.spa
.space	generic	.space
.sport	generic	.sport
.spot	generic	.spot
.sr	country-code	.sr
.srl	generic	.srl
.ss	country-code	.ss
.st	country-code	.st
.stada	generic	.stada
.staples	generic	.staples
.star	generic	.star
.statebank	generic	.statebank
.statefarm	generic	.statefarm
.stc	generic	.stc
.stcgroup	generic	.stcgroup
.stockholm	generic	.stockholm
.storage	generic	.storage
.store	generic	.store
.stream	generic	.stream
.studio	generic	.studio
.study	generic	.study
.style	generic	.style
.su	country-code	.su
.sucks	generic	.sucks
.supplies	generic	.supplies
.supply	generic	.supply
.support	generic	.support
.surf	generic	.surf
.surgery	generic	.surgery
.suzuki	generic	.suzuki
.sv	country-code	.sv
.swatch	generic	.swatch
.swiss	generic	.swiss
.sx	country-code	.sx
.sy	country-code	.sy
.sydney	generic	.sydney
.systems	generic	.systems
.sz	country-code	.sz
.tab	generic	.tab
.taipei	generic	.taipei
.talk	generic	.talk
.taobao	generic	.taobao
.target	generic	.target
.tatamotors	generic	.tatamotors
.tatar	generic	.tatar
.tattoo	generic	.tattoo
.tax	generic	.tax
.taxi	generic	.taxi
.tc	country-code	.tc
.tci	generic	.tci
.td	country-code	.td
.tdk	generic	.tdk
.team	generic	.team
.tech	generic	.tech
.technology	generic	.technology
.tel	sponsored	.tel
.temasek	generic	.temasek
.tennis	generic	.tennis
.teva	generic	.teva
.tf	country-code	.tf
.tg	country-code	.tg
.th	country-code	.th
.thd	generic	.thd
.theater	generic	.theater
.theatre	generic	.theatre
.tiaa	generic	.tiaa
.tickets	generic	.tickets
.tienda	generic	.tienda
.tips	generic	.tips
.tires	generic	.tires
.tirol	generic	.tirol
.tj	country-code	.tj
.tjmaxx	generic	.tjmaxx
.tjx	generic	.tjx
.tk	country-code	.tk
.tkmaxx	generic	.tkmaxx
.tl	country-code	.tl
.tm	country-code	.tm
.tmall	generic	.tmall
.tn	country-code	.tn
.to	country-code	.to
.today	generic	.today
.tokyo	generic	.tokyo
.tools	generic	.tools
.top	generic	.top
.toray	generic	.toray
.toshiba	generic	.toshiba
.total	generic	.total
.tours	generic	.tours
.town	generic	.town
.toyota	generic	.toyota
