name	sex	count
Emerald	f	7513
Emerson	f	24558
Emerson	m	22498
Emersyn	f	12240
Emery	f	28293
Emery	m	12933
Emil	m	14189
Emile	m	5011
Emilee	f	23197
Emilia	f	42592
Emiliano	m	28328
Emilie	f	21360
Emilio	m	41167
Emily	f	814413
Emma	f	539310
Emmalee	f	8418
Emmalyn	f	7479
Emmanuel	m	79982
Emmet	m	4449
Emmett	m	49636
Emmie	f	6171
Emmitt	m	9955
Emmy	f	9201
Emory	f	6701
Emory	m	12123
Enoch	m	8621
Enrico	m	3802
Enrique	m	56428
Enzo	m	16063
Ephraim	m	6219
Erasmo	m	3570
Eric	m	877416
Erica	f	230646
Erich	m	11133
Erick	m	73897
Ericka	f	23186
Erik	m	153945
Erika	f	124393
Erin	f	313935
Erin	m	9302
Erma	f	23565
Ernest	m	187442
Ernestine	f	26959
Ernesto	m	41608
Ernie	m	14748
Errol	m	8243
Ervin	m	24055
Erwin	m	11919
Eryn	f	7093
Esme	f	6119
Esmeralda	f	47246
Esperanza	f	17456
Essence	f	9655
Essie	f	13379
Esteban	m	31524
Estefania	f	6562
Estela	f	7729
Estella	f	20689
Estelle	f	17563
Ester	f	10465
Estevan	m	8409
Esther	f	123884
Estrella	f	14517
Ethan	m	445547
Ethel	f	71130
Ethen	m	3729
Etta	f	16031
Eugene	m	245828
Eugenia	f	17980
Eugenio	m	4189
Eula	f	15554
Eunice	f	34387
Eva	f	154792
Evan	m	270767
Evangelina	f	8871
Evangeline	f	24134
Evans	m	3512
Eve	f	23874
Evelin	f	6866
Evelyn	f	351625
Evelynn	f	10796
Ever	m	3537
Everardo	m	4505
Everett	m	80280
Everette	m	7303
Everleigh	f	10043
Everly	f	26100
Evie	f	12618
Ezekiel	m	54129
Ezequiel	m	15647
Ezra	m	62143
Fabian	m	40231
Fabiola	f	8882
Faith	f	136829
Fallon	f	9672
Fannie	f	24320
Farrah	f	11204
Farrell	m	3599
Fatima	f	34365
Fay	f	16411
Faye	f	48644
Federico	m	7864
Felecia	f	10142
Felicia	f	88431
Felicity	f	15162
Felipe	m	28519
Felix	m	59678
Felton	m	4872
Ferdinand	m	4206
Fermin	m	4263
Fern	f	12157
Fernanda	f	16914
Fernando	m	96347
Fidel	m	9876
Finley	f	17376
Finley	m	12582
Finn	m	25232
Finnegan	m	9635
Finnley	m	3589
Fiona	f	29762
Fisher	m	5052
Fletcher	m	11560
Flor	f	7116
Flora	f	27356
Florence	f	81113
Floyd	m	87995
Flynn	m	4858
Ford	m	6168
Forest	m	9980
Forrest	m	35888
Foster	m	8004
Frances	f	289785
Francesca	f	30549
Francesco	m	7190
Francine	f	34680
Francis	f	15667
Francis	m	172086
Francisca	f	9197
Francisco	m	129741
Franco	m	7503
Frank	m	556130
Frankie	f	24317
Frankie	m	39182
Franklin	m	113775
Franklyn	m	4552
Fred	m	193160
Freda	f	20517
Freddie	f	6794
Freddie	m	63314
Freddy	m	25403
Frederic	m	10396
Frederick	m	195134
Fredric	m	7186
Fredrick	m	53123
Fredy	m	4360
Freeman	m	6588
Freida	f	6877
Freya	f	10032
Frida	f	7362
Frieda	f	7663
